Teacher Name,Month,Attendance (%),Feedback from Students (1-5),Questions Answered,Research Papers,Average Class Duration (minutes),Average Student Attendance per Class (%),Resource Sharing (1-5),Quiz Frequency,After Quiz Feedback (1-5),RandomNumber
Teacher_182,1,95,3.8,118,3,54,85,4.5,1,5,77.96285971
Teacher_183,1,95,4.7,135,6,68,81,4.4,4,3.5,96.50525665
Teacher_184,1,91,4.4,124,2,61,77,4.2,1,4.5,39.20527132
Teacher_185,1,98,4,113,6,68,78,4.8,2,4.8,25.11843776
Teacher_186,1,90,4.7,131,1,64,79,4.5,3,4.5,44.99018253
Teacher_187,1,89,3.9,116,2,50,77,4.7,3,4,13.37889062
Teacher_188,1,85,5,92,2,49,79,4.7,4,4.9,8.434604325
Teacher_189,1,97,4,113,6,70,76,3.8,4,4.8,75.63010637
Teacher_190,1,90,4,120,4,48,89,4.5,4,4.2,1.883846989
Teacher_191,1,88,4,116,4,54,87,3.8,4,4.4,18.11766663
Teacher_192,1,86,3.7,146,5,52,77,4.4,1,5,6.333357471
Teacher_193,1,96,3.7,115,1,74,77,4.5,3,5,44.89866403
Teacher_194,1,95,4.5,95,4,50,87,5,3,4.2,58.12701931
Teacher_195,1,96,4.8,103,6,73,83,3.5,2,4.8,59.75077421
Teacher_196,1,92,4.7,136,4,60,81,3.6,3,4,89.72313227
Teacher_197,1,96,3.7,129,5,68,76,3.6,2,4.1,41.60193345
Teacher_198,1,96,4.3,90,3,46,82,4.1,3,3.7,84.45675941
Teacher_199,1,86,3.7,137,5,73,80,4.7,3,3.8,33.49587658
Teacher_200,1,99,3.6,149,2,50,85,4.8,1,4.5,72.18329232
Teacher_201,1,90,4.5,81,2,48,78,4.6,1,4.3,32.57774333
Teacher_202,1,88,4.3,140,4,48,79,4.8,2,3.8,57.73952802
Teacher_203,1,98,3.6,103,4,45,79,4,3,4.1,43.03849052
Teacher_204,1,94,3.6,122,5,66,83,3.6,2,4.1,77.31770114
Teacher_205,1,95,5,138,5,68,75,3.6,1,5,41.80851256
Teacher_206,1,86,3.5,109,6,61,85,4.8,2,4.8,89.84123649
Teacher_207,1,90,4.2,101,1,65,88,4.6,2,4.1,11.02173663
Teacher_208,1,86,4.3,143,6,51,76,4.5,1,4.9,19.1708374
Teacher_209,1,98,3.7,97,2,68,75,4,1,4,89.74295196
Teacher_210,1,86,3.8,94,6,52,84,4.1,3,4.5,5.012367229
Teacher_211,1,97,4,88,5,58,81,4.9,1,4.9,57.88002253
Teacher_212,1,94,4.6,115,6,64,84,3.6,1,4.1,34.17329243
Teacher_213,1,86,4.3,89,3,70,84,4.7,3,4.5,65.62662854
Teacher_214,1,88,4.5,113,1,58,89,4,1,3.9,56.20130783
Teacher_215,1,86,5,96,5,48,80,3.6,4,3.9,98.23848912
Teacher_216,1,96,4.7,138,4,60,76,4.6,1,4.4,98.47864779
Teacher_217,1,96,4.2,133,6,59,75,4,4,5,62.46228908
Teacher_218,1,95,4.2,80,5,65,82,4.6,3,4.2,34.95958533
Teacher_219,1,92,4.4,90,4,47,79,4.6,4,4.9,0.967607754
Teacher_220,1,97,4.5,140,4,55,88,4.3,1,4.9,91.10241991
Teacher_221,1,93,4.3,135,2,46,81,4.7,4,3.9,82.7445719
Teacher_222,1,85,4.5,95,2,68,87,4.4,3,4.1,22.02264855
Teacher_223,1,86,3.5,107,5,72,80,3.9,4,4.5,87.28949274
Teacher_224,1,90,4.1,114,5,49,79,4.6,3,4.3,26.21758592
Teacher_225,1,89,3.9,137,3,68,85,4.4,4,3.6,23.64650246
Teacher_226,1,99,3.7,88,1,60,87,3.5,3,5,0.19996435
Teacher_227,1,88,3.6,106,1,59,81,4.9,4,4.6,38.33765068
Teacher_228,1,90,4.4,118,5,64,80,4.3,4,4.2,94.25008786
Teacher_229,1,98,4.3,103,2,67,76,4.8,3,4.4,25.93030076
Teacher_230,1,93,3.9,95,6,52,84,4.8,1,3.6,14.79304113
Teacher_231,1,98,4.2,124,3,56,78,4.2,3,4.2,72.062391
Teacher_232,1,89,4.2,136,1,50,88,4.3,3,4.9,25.19507141
Teacher_233,1,87,3.8,95,5,54,78,4.1,3,4.8,85.38450247
Teacher_234,1,98,4.5,128,2,64,76,4.2,1,4,16.91621682
Teacher_235,1,87,4.7,118,2,45,83,4.8,2,4.3,1.529340743
Teacher_236,1,87,4.7,131,2,65,87,4.7,2,4.5,70.95947767
Teacher_237,1,86,4.4,147,6,52,86,3.7,1,4,63.718644
Teacher_238,1,96,4.3,100,4,56,86,4.4,1,3.6,74.64516641
Teacher_239,1,89,3.6,84,6,46,88,5,2,4.3,89.81767051
Teacher_240,1,99,3.9,126,2,47,86,4.4,3,4.4,65.25151386
Teacher_241,1,98,3.6,142,5,69,88,4.7,3,3.5,26.50110388
Teacher_242,1,85,4.9,94,3,65,75,4.7,2,3.6,15.25560103
Teacher_243,1,97,3.7,126,6,62,75,4,4,3.8,18.25200923
Teacher_244,1,88,3.7,118,5,46,82,4.1,2,4,19.52410292
Teacher_245,1,91,4.8,140,2,61,81,4.6,2,4.3,35.24005788
Teacher_246,1,94,4.9,109,3,74,84,4.2,1,3.9,44.52036146
Teacher_247,1,92,4.6,143,1,65,75,4.4,3,3.9,76.93240906
Teacher_248,1,91,3.5,85,1,59,79,4.6,2,4.8,70.99208876
Teacher_249,1,90,3.5,98,5,68,76,4.7,1,3.7,2.753208712
Teacher_250,1,93,4.1,104,3,65,87,3.9,2,4.2,97.4692258
Teacher_251,1,91,3.7,147,5,46,82,3.7,3,4.9,32.2201082
Teacher_252,1,94,3.5,109,3,72,81,3.9,2,4.4,93.35435733
Teacher_253,1,85,4.2,136,3,66,76,4.3,1,4.6,57.21985114
Teacher_254,1,96,4.9,138,5,57,77,4,1,4.1,80.6718348
Teacher_255,1,87,4,103,3,48,84,4.4,2,3.5,64.79958273
Teacher_256,1,98,4.5,138,6,47,81,3.6,1,4.5,95.09124625
Teacher_257,1,93,4.5,110,2,68,81,4.3,3,4.4,73.221171
Teacher_258,1,87,3.9,100,3,47,76,4.1,4,3.7,78.43821726
Teacher_259,1,96,4.5,109,6,64,89,4.3,3,4.2,17.74509367
Teacher_260,1,89,3.8,104,3,74,86,4.1,4,4.9,44.89836131
Teacher_261,1,86,3.7,139,6,57,85,3.9,4,3.8,79.06978811
Teacher_262,1,91,4.6,147,5,74,84,4.9,1,4.2,80.50805214
Teacher_263,1,89,3.7,96,1,49,89,3.8,1,4.2,49.06231709
Teacher_264,1,92,5,111,4,59,86,4.5,2,4.7,18.04822366
Teacher_265,1,87,3.8,109,3,57,88,4.9,4,4.7,50.15823571
Teacher_266,1,93,4.4,101,4,57,78,4.3,4,4.6,72.92656264
Teacher_267,1,88,4.1,140,3,67,89,4.8,1,4,91.04034049
Teacher_268,1,88,3.7,86,5,57,76,3.7,2,3.6,1.418199542
Teacher_269,1,86,3.5,127,5,58,89,4.2,2,4,48.3113025
Teacher_270,1,99,4.4,115,6,64,75,4.2,1,4.5,46.04364837
Teacher_271,1,99,4.7,100,3,50,79,3.5,1,4.6,9.313346121
Teacher_272,1,98,4.8,132,5,58,80,4.2,3,4.9,6.526077174
Teacher_273,1,96,4.2,143,5,62,78,4.1,1,4.2,11.75798892
Teacher_274,1,99,4.7,112,3,65,82,4.5,1,4.4,1.266505511
Teacher_275,1,90,4.5,108,6,68,83,4.9,2,4.3,93.43021646
Teacher_276,1,94,4.6,95,6,74,83,3.6,3,3.7,28.7506827
Teacher_277,1,89,4.2,125,6,56,86,4,1,4.2,86.74339098
Teacher_278,1,89,4.5,146,6,71,78,4.2,1,4.3,80.06345405
Teacher_279,1,87,4.7,86,1,52,75,4.2,2,4.9,87.83245795
Teacher_280,1,85,4.1,118,3,62,76,4.7,3,4,7.124988243
Teacher_281,1,96,4.7,144,1,50,88,4.2,3,5,49.46535974
Teacher_282,1,99,4.4,101,5,62,76,3.5,1,4.3,57.5800789
Teacher_283,1,92,3.7,96,1,72,77,4.6,3,3.9,53.72202846
Teacher_284,1,85,3.5,116,6,64,76,4.8,4,3.8,83.32326232
Teacher_285,1,87,4,93,5,46,88,4.3,3,3.7,52.99418676
Teacher_286,1,94,4.3,101,1,61,87,4.4,4,4.2,6.572340902
Teacher_287,1,86,4.8,120,1,66,85,3.7,3,3.5,16.16419961
Teacher_288,1,98,3.7,148,3,55,78,3.8,2,4.2,53.36882102
Teacher_289,1,89,4.7,142,1,70,86,3.9,3,5,75.5361795
Teacher_290,1,93,4.8,84,5,54,88,4.1,4,4.5,63.29605836
Teacher_291,1,89,3.7,96,6,71,85,4.9,3,4.6,28.42004208
Teacher_292,1,85,4.8,89,3,54,77,4.3,1,3.7,61.26171855
Teacher_293,1,92,5,144,1,50,80,3.8,3,4.2,36.58119397
Teacher_294,1,97,4.6,95,3,52,77,3.9,1,3.9,77.75586839
Teacher_295,1,87,4.7,82,4,57,88,4.1,1,4.8,6.65328789
Teacher_296,1,99,5,82,3,62,87,4.4,2,3.8,97.28238016
Teacher_297,1,92,4.4,83,6,48,84,4.2,2,4.2,34.19608921
Teacher_298,1,94,4,130,4,70,77,4.1,4,4.4,35.5309581
Teacher_299,1,97,4.8,134,4,46,75,4.3,4,4.3,26.20728762
Teacher_300,1,98,4.4,103,3,56,85,3.9,1,4.7,55.7403282
Teacher_301,1,87,4.4,144,5,67,77,3.6,4,3.8,5.160072383
Teacher_302,1,94,3.9,94,6,52,88,3.5,1,4.1,86.06390837
Teacher_303,1,96,4.6,92,5,70,81,3.9,3,4.7,62.77162066
Teacher_304,1,89,3.6,114,6,65,81,3.6,3,4.3,65.10637534
Teacher_305,1,99,4.9,125,6,65,75,4,1,4.1,93.92810285
Teacher_306,1,98,4,107,5,46,81,4.7,4,3.5,51.5532797
Teacher_307,1,91,3.7,109,2,59,84,4.6,2,4.6,47.08133738
Teacher_308,1,96,4.2,140,4,66,83,4.4,1,5,95.34964871
Teacher_309,1,99,3.6,127,3,47,88,4.8,2,4.4,71.6268225
Teacher_310,1,86,4.5,114,5,62,76,3.9,1,4.8,82.58420148
Teacher_311,1,97,4.9,115,5,57,88,4.8,3,4.3,59.70972639
Teacher_312,1,88,4.8,136,3,63,87,4.1,2,3.8,8.186805515
Teacher_313,1,86,3.7,96,4,46,80,4.1,3,3.5,62.35922268
Teacher_314,1,96,3.7,95,3,51,81,4.1,2,4.5,5.101315398
Teacher_315,1,98,4.7,114,6,47,76,3.6,2,4.2,28.33210071
Teacher_316,1,94,4.9,80,2,74,82,5,2,4.7,58.79487698
Teacher_317,1,94,4.2,146,6,51,79,3.7,4,4.5,54.06727658
Teacher_318,1,86,4.2,149,2,46,89,4,1,5,81.57230239
Teacher_319,1,98,4,134,3,74,80,4,2,4.3,99.90773866
Teacher_320,1,85,4.8,141,6,64,80,3.6,3,4.1,62.29219291
Teacher_321,1,88,4.5,132,4,48,84,3.7,4,3.9,59.44461479
Teacher_322,1,86,3.9,143,6,70,84,3.6,4,4.2,35.53326005
Teacher_323,1,90,3.9,90,5,54,76,3.9,3,4.8,55.29714927
Teacher_324,1,87,4.8,105,2,62,80,4.8,3,3.6,95.45555262
Teacher_325,1,87,3.5,114,2,55,75,4,2,5,62.02226882
Teacher_326,1,90,4,125,4,61,80,3.7,1,5,5.137581202
Teacher_327,1,93,4.3,96,2,63,81,4.5,2,4.4,79.42430521
Teacher_328,1,92,3.7,111,2,56,83,5,3,4,86.29080413
Teacher_329,1,86,3.6,147,4,70,83,3.8,3,3.8,73.60088377
Teacher_330,1,96,4.7,113,6,71,84,3.9,2,3.9,26.71709212
Teacher_331,1,86,4.8,139,3,46,87,5,1,3.6,87.52470866
Teacher_332,1,86,4.7,131,6,55,85,3.8,2,4.2,85.00052213
Teacher_333,1,89,4.8,93,5,64,75,4.3,3,3.6,59.6537733
Teacher_334,1,85,4.3,133,5,45,81,3.9,2,4.6,29.55729229
Teacher_335,1,94,4.7,130,2,74,82,4.9,3,4.1,79.59539637
Teacher_336,1,86,4.1,106,5,56,83,5,2,3.8,72.46015252
Teacher_337,1,86,4.5,142,3,51,77,4.7,3,4.3,64.42868302
Teacher_338,1,89,5,122,2,70,82,4,4,5,12.61313458
Teacher_339,1,94,3.8,144,5,65,75,4.1,3,4.5,34.75085195
Teacher_340,1,95,4.1,104,1,49,75,3.9,2,4.2,61.82892773
Teacher_341,1,85,4.2,139,1,72,77,4.8,2,4.7,43.80976602
Teacher_342,1,93,3.7,97,1,49,75,4.9,4,4.6,61.52353529
Teacher_343,1,99,3.6,91,1,70,86,4.1,3,4.8,35.13346573
Teacher_344,1,88,4.7,114,6,54,88,4.5,4,3.8,5.995838962
Teacher_345,1,90,5,141,1,58,86,3.7,1,4.8,72.67275797
Teacher_346,1,89,4.1,116,2,70,75,4.2,3,4,71.6744181
Teacher_347,1,92,3.6,127,4,51,75,4.4,2,4.9,56.05983261
Teacher_348,1,94,3.6,127,6,52,89,4.1,4,3.9,76.11437295
Teacher_349,1,91,4.8,113,4,46,79,4,4,4.9,36.5431123
Teacher_350,1,92,4.2,99,2,72,89,3.5,2,4.9,96.039128
Teacher_351,1,93,4,88,2,59,77,4.7,3,3.7,50.91820991
Teacher_352,1,97,4.2,105,3,71,89,4.8,2,5,32.68840823
Teacher_353,1,96,4,116,6,60,75,5,1,3.6,30.96911246
Teacher_354,1,96,4.2,83,4,58,82,4.6,1,3.8,63.97851602
Teacher_355,1,85,4.8,93,1,57,79,4.3,2,4.2,74.88687046
Teacher_356,1,93,4.4,103,2,73,86,3.9,1,5,71.49942047
Teacher_357,1,97,4.5,109,1,72,80,5,3,4.2,10.76052446
Teacher_358,1,90,4,110,4,62,84,4.4,3,4.3,68.14865661
Teacher_359,1,90,4.6,119,6,65,85,4.5,2,4.5,43.32375298
Teacher_360,1,96,4.5,86,5,49,80,4.5,1,5,13.06732961
